DP_SECONDARY_ID,Service Area Name,MUA/P Source Identification Number,Designation Type,Index of Medical Underservice Score,Primary State Abbreviation,Status,MUA/P Designation Date,MUA/P Update Date,Withdrawn Date,Population Type,Providers per 1000 Population,Ratio of Providers per 1000 Population Index of Medical Underservice Score,Percent of Population with Incomes at or Below 100 Percent of the U.S. Federal Poverty Level,Percent of Population with Incomes at or Below 100 Percent of the U.S. Federal Poverty Level Index of Medical Underservice Score,Infant Mortality Rate,Infant Mortality Rate Index of Medical Underservice Score,Percentage of Population Age 65 and Over,Percentage of Population Age 65 and Over Index of Medical Underservice Score,Primary HHS Region Name,Rural Status,
"01323","Acadia Parish","01323","Medically Underserved Area","61.30","LA","Designated","11/1/1978 12:00:00 AM","12/1/2005 12:00:00 AM","","Medically Underserved Area","","","","","","","","","Region VI","Partially Rural"
"03569","ACCOMACK COUNTY","03569","Medically Underserved Area","61.20","VA","Designated","11/1/1978 12:00:00 AM","3/25/2011 12:00:00 AM","","Medically Underserved Area","","","","","","","","","Region III","Rural"
"00788","Ada Service Area","00788","Medically Underserved Area","59.80","ID","Designated","5/11/1994 12:00:00 AM","5/11/1994 12:00:00 AM","","Medically Underserved Area","","","","","","","","","Region X","Non-Rural"
"00439","Adams Governor Service Area","00439","Medically Underserved Area – Governor’s Exception","0.00","CO","Designated","3/31/1988 12:00:00 AM","5/3/1994 12:00:00 AM","","Medically Underserved Area","","","","","","","","","Region VIII","Non-Rural"
"01740","ADAMS SERVICE AREA","01740","Medically Underserved Area","51.30","MS","Designated","11/1/1978 12:00:00 AM","11/1/1978 12:00:00 AM","","Medically Underserved Area","","","","","","","","","Region IV","Rural"
"02608","ADAMS SERVICE AREA","02608","Medically Underserved Area","47.90","OH","Designated","11/1/1978 12:00:00 AM","11/1/1978 12:00:00 AM","","Medically Underserved Area","","","","","","","","","Region V","Rural"
"03845","Adjuntas","03845","Medically Underserved Area","0.00","PR","Designated","11/1/1978 12:00:00 AM","11/1/1978 12:00:00 AM","","Medically Underserved Area","","","","","","","","","Region II","Rural"
"01465","Adroscoggin Service Area","01465","Medically Underserved Area","60.90","ME","Designated","5/11/1994 12:00:00 AM","5/11/1994 12:00:00 AM","","Medically Underserved Area","","","","","","","","","Region I","Non-Rural"
"03846","Aguada","03846","Medically Underserved Area","0.00","PR","Designated","11/1/1978 12:00:00 AM","11/1/1978 12:00:00 AM","","Medically Underserved Area","","","","","","","","","Region II","Non-Rural"
"03848","Aguas Buenas","03848","Medically Underserved Area","0.00","PR","Designated","11/1/1978 12:00:00 AM","11/1/1978 12:00:00 AM","","Medically Underserved Area","","","","","","","","","Region II","Non-Rural"
"06137","Airport/Conner Service Area","06137","Medically Underserved Area","42.40","MI","Designated","5/5/1994 12:00:00 AM","9/27/1994 12:00:00 AM","","Medically Underserved Area","","","","","","","","","Region V","Non-Rural"
"00326","Alameda Service Area","00326","Medically Underserved Area","54.10","CA","Designated","3/24/1982 12:00:00 AM","5/2/1994 12:00:00 AM","","Medically Underserved Area","","","","","","","","","Region IX","Non-Rural"
